M,cutoff,factor_cluster_ci95_low,lminus_cluster_ci95_low,margin,model,noninferior,omitted_layers
16,0,-0.123046875,-0.123046875,0.15,B_exact_finite_discrete_gaussian,True,3
16,1,-0.07421875,-0.07421875,0.15,B_exact_finite_discrete_gaussian,True,2
16,2,-0.009765625,-0.009765625,0.15,B_exact_finite_discrete_gaussian,True,1
16,3,0.0,0.0,0.15,B_exact_finite_discrete_gaussian,True,0
32,0,-0.33403320312499996,-0.33984375,0.15,A_uniform_hard_box,False,4
32,1,-0.24609375,-0.24609375,0.15,A_uniform_hard_box,False,3
32,2,-0.11328125,-0.109375,0.15,A_uniform_hard_box,True,2
32,3,-0.017578125,-0.017578125,0.15,A_uniform_hard_box,True,1
32,4,0.0,0.0,0.15,A_uniform_hard_box,True,0
32,0,-0.111328125,-0.107421875,0.15,B_exact_finite_discrete_gaussian,True,4
32,1,-0.103515625,-0.103515625,0.15,B_exact_finite_discrete_gaussian,True,3
32,2,-0.03515625,-0.03515625,0.15,B_exact_finite_discrete_gaussian,True,2
32,3,0.0,0.0,0.15,B_exact_finite_discrete_gaussian,True,1
32,4,0.0,0.0,0.15,B_exact_finite_discrete_gaussian,True,0
