algorithm,instance_id,method,omitted_layers,predicted_noninferior,probability,shots,task_difference,truth_noninferior
Regev,85:A_uniform_hard_box:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,95:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,95:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,115:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,-0.03125,True
Regev,115:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,2.0,False,0.0,7.0,-0.0625,True
Regev,115:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,0.015625,True
Regev,115:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,-0.015625,True
Regev,115:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,-0.015625,True
Regev,115:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,115:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,4.0,False,0.0,7.0,-0.078125,True
Regev,115:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,3.0,False,0.0,7.0,-0.0625,True
Regev,115:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,-0.03125,True
Regev,115:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.015625,True
Regev,119:A_uniform_hard_box:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,119:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,119:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,133:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,4.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,133:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,161:A_uniform_hard_box:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
