algorithm,approximation_level,endpoint,exact_task_success_probability,instance_id,measured_tv,resource_controlled_phase,resource_cx,resource_depth,state_specific_certified,task_difference,task_success_probability,worst_case_certified
Shor,3,order,1.0,35:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,35:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,35:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,35:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,35:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,35:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,35:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,35:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,35:2,2.9907277529671245e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,35:2,2.9907277529671245e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,35:2,3.1606531500981785e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,35:2,3.1606531500981785e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,35:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,35:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,35:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,35:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,35:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,35:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,35:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,35:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,39:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,39:2,0.0,0,0,0,True,0.0,1.0,True
